date,AB,BC,CV,HD,POW,SB,CTM
2014-08-31,165,241,135,151,29,114,111
2014-09-01,166,244,127,171,31,106,108
2014-09-02,156,276,118,131,29,108,129
2014-09-03,155,246,138,121,29,121,134
2014-09-04,192,286,120,126,38,115,124
2014-09-05,204,263,120,131,46,119,114
2014-09-06,176,257,127,131,48,131,142
2014-09-07,182,286,116,132,51,128,128
2014-09-08,161,251,120,121,40,126,104
2014-09-09,190,241,120,145,38,119,125
2014-09-10,170,282,119,111,27,117,151
2014-09-11,194,281,141,143,43,108,147
2014-09-12,205,249,153,133,51,120,125
2014-09-13,177,251,142,129,39,109,130
2014-09-14,183,292,135,110,35,144,140
2014-09-15,203,279,121,112,40,162,155
2014-09-16,181,226,137,150,28,109,109
2014-09-17,205,269,142,111,51,117,124
2014-09-18,156,259,146,120,23,103,142
2014-09-19,170,224,158,123,40,121,135
2014-09-20,182,243,135,95,31,112,130
2014-09-21,149,290,123,123,40,139,140
2014-09-22,166,283,141,111,29,126,130
2014-09-23,181,249,131,134,44,136,112
2014-09-24,165,255,151,126,46,145,134
2014-09-25,146,264,120,145,39,104,139
2014-09-26,192,265,130,124,35,115,146
2014-09-27,193,258,149,100,29,125,113
2014-09-28,160,252,135,106,35,105,129
2014-09-29,173,265,137,137,43,134,140
2014-09-30,168,246,140,120,49,119,142
2014-10-01,182,254,125,128,44,159,145
2014-10-02,183,274,146,168,45,125,130
2014-10-03,168,277,129,132,27,145,148
2014-10-04,161,262,131,117,34,127,129
2014-10-05,179,262,118,98,41,110,133
2014-10-06,161,257,129,126,44,106,108
2014-10-07,143,265,137,117,33,120,153
2014-10-08,163,274,149,145,45,126,169
2014-10-09,196,253,146,142,46,136,147
2014-10-10,173,253,156,122,38,126,146
2014-10-11,172,248,159,122,27,132,140
2014-10-12,156,270,105,121,31,137,114
2014-10-13,182,276,140,118,46,120,115
2014-10-14,200,255,131,132,51,112,118
2014-10-15,185,247,135,137,41,112,117
2014-10-16,192,257,138,123,45,142,174
2014-10-17,184,254,143,159,54,155,161
2014-10-18,156,212,137,145,33,114,130
2014-10-19,165,257,136,109,38,126,131
2014-10-20,148,246,148,102,34,128,130
2014-10-21,178,243,158,142,37,106,153
2014-10-22,196,255,148,142,43,138,175
2014-10-23,199,288,141,129,31,122,147
2014-10-24,170,271,129,110,67,145,142
2014-10-25,170,243,129,137,57,143,140
2014-10-26,166,264,135,128,29,121,158
2014-10-27,184,243,132,132,38,139,148
2014-10-28,171,251,148,117,41,126,144
2014-10-29,188,242,132,151,49,126,134
2014-10-30,199,248,158,142,37,138,165
2014-10-31,190,258,149,109,35,132,145
2014-11-01,149,257,109,132,32,105,129
