date,AB,BC,CTM,CV,HD,POW,SB
2014-09-25,186,321,170,171,160,48,138
2014-09-26,247,329,173,157,144,45,160
2014-09-27,233,347,149,187,130,45,126
2014-09-28,179,308,181,182,131,44,138
2014-09-29,217,332,174,188,157,50,166
2014-09-30,248,313,169,200,147,61,182
2014-10-01,231,292,175,198,140,54,151
2014-10-02,224,321,169,202,176,59,129
2014-10-03,222,332,166,195,163,48,157
2014-10-04,201,328,177,213,158,50,155
2014-10-05,226,301,168,204,119,53,136
2014-10-06,211,293,155,175,164,60,132
2014-10-07,195,308,190,202,126,52,157
2014-10-08,215,303,193,210,162,57,159
2014-10-09,235,326,171,209,141,58,158
2014-10-10,221,303,176,207,139,63,159
2014-10-11,240,304,162,202,138,34,156
2014-10-12,216,325,148,183,137,45,162
2014-10-13,205,344,154,184,120,55,147
2014-10-14,238,330,151,185,175,71,137
2014-10-15,250,340,170,203,159,55,151
2014-10-16,238,292,186,185,134,53,159
2014-10-17,224,305,192,183,169,71,169
2014-10-18,204,279,153,197,166,51,124
2014-10-19,197,314,168,188,111,48,163
2014-10-20,190,314,157,187,127,49,161
2014-10-21,216,305,167,216,164,47,126
2014-10-22,237,307,188,171,157,56,180
2014-10-23,266,369,171,193,140,47,155
2014-10-24,206,347,170,189,137,79,163
2014-10-25,217,282,166,180,160,68,155
2014-10-26,208,322,186,189,154,49,153
2014-10-27,247,281,186,199,140,55,157
2014-10-28,222,330,165,194,125,67,161
2014-10-29,242,309,167,190,169,54,154
2014-10-30,263,334,213,221,169,45,166
2014-10-31,254,340,167,232,124,53,176
2014-11-01,206,321,168,178,149,55,129
2014-11-02,199,303,134,183,140,42,106
2014-11-03,218,264,139,203,138,56,155
2014-11-04,203,338,172,163,140,57,172
2014-11-05,206,290,153,198,151,52,152
2014-11-06,228,305,166,186,137,43,159
2014-11-07,262,330,195,158,121,52,159
2014-11-08,188,278,172,146,153,47,137
2014-11-09,210,290,167,183,136,54,153
2014-11-10,232,357,175,198,144,54,138
2014-11-11,236,344,181,177,140,57,161
2014-11-12,226,337,165,196,148,64,146
2014-11-13,245,308,195,210,133,56,167
2014-11-14,252,354,199,225,137,46,160
2014-11-15,220,314,146,199,139,51,183
2014-11-16,205,308,164,189,157,51,134
2014-11-17,238,279,148,178,141,46,165
2014-11-18,256,340,178,212,160,66,147
2014-11-19,248,310,177,222,145,59,150
2014-11-20,252,341,176,233,138,46,137
2014-11-21,271,353,212,214,174,56,170
2014-11-22,233,366,163,181,142,43,115
2014-11-23,269,330,164,186,151,41,182
2014-11-24,191,339,164,180,151,41,160
2014-11-25,214,299,163,217,158,48,183
2014-11-26,239,311,155,207,122,49,181
2014-11-27,240,322,198,211,125,55,147
2014-11-28,227,350,157,191,154,55,146
2014-11-29,226,292,144,167,145,31,159
2014-11-30,234,285,173,155,136,40,144
2014-12-01,217,316,170,169,139,50,167
2014-12-02,257,321,167,216,152,70,174
2014-12-03,240,361,201,227,149,51,175
2014-12-04,252,359,164,209,127,51,185
2014-12-05,238,352,192,177,173,65,173
2014-12-06,205,331,173,192,190,53,218
2014-12-07,219,310,210,226,136,60,189
2014-12-08,229,343,163,218,176,42,160
2014-12-09,249,339,175,235,165,48,176
2014-12-10,250,322,181,223,160,54,183
2014-12-11,241,343,173,189,153,44,169
2014-12-12,319,318,198,180,183,46,184
2014-12-13,225,342,186,191,132,61,162
2014-12-14,193,324,186,183,120,57,187
2014-12-15,263,343,172,207,154,36,170
2014-12-16,244,319,195,225,142,61,160
2014-12-17,234,293,176,224,148,48,162
2014-12-18,296,361,171,208,138,53,187
2014-12-19,282,294,184,190,152,46,204
2014-12-20,261,298,171,169,141,48,128
2014-12-21,208,310,160,170,134,68,168
2014-12-22,226,353,196,190,129,70,152
2014-12-23,242,327,186,195,147,53,147
2014-12-24,250,321,164,210,161,49,165
2014-12-25,246,308,206,176,138,52,179
2014-12-26,269,358,197,211,169,50,152
2014-12-27,310,366,210,208,167,62,176
2014-12-28,262,364,182,180,169,53,161
2014-12-29,242,332,175,173,130,61,184
2014-12-30,288,328,165,167,142,73,185
2014-12-31,266,323,155,186,146,65,146
2015-01-01,367,445,247,310,195,69,195
2015-01-02,305,329,187,220,139,60,145
2015-01-03,288,395,164,199,176,68,191
2015-01-04,281,300,195,227,134,64,172
2015-01-05,219,328,200,182,155,82,175
2015-01-06,213,350,172,189,173,49,186
2015-01-07,243,352,174,173,145,44,123
2015-01-08,238,320,188,162,153,64,146
2015-01-09,245,356,213,172,155,60,176
2015-01-10,238,312,171,184,153,53,141
2015-01-11,235,323,183,160,138,60,156
2015-01-12,233,298,148,182,134,45,139
2015-01-13,219,258,177,190,152,44,138
2015-01-14,224,325,163,199,125,42,165
2015-01-15,229,315,184,162,129,52,150
2015-01-16,220,313,186,171,131,50,150
2015-01-17,205,281,172,171,121,53,128
2015-01-18,232,348,186,185,110,45,118
2015-01-19,258,297,172,195,135,61,129
2015-01-20,235,295,195,176,157,55,156
2015-01-21,223,284,166,197,146,45,144
2015-01-22,221,300,173,195,167,45,134
2015-01-23,243,303,157,207,121,42,131
2015-01-24,213,262,172,191,133,66,142
2015-01-25,183,309,164,178,156,59,162
2015-01-26,204,291,185,177,126,54,151
2015-01-27,237,303,170,150,135,51,139
2015-01-28,236,263,164,201,153,41,157
2015-01-29,237,302,177,202,138,41,156
2015-01-30,278,318,166,222,150,45,168
2015-01-31,228,324,185,214,158,60,163
2015-02-01,215,356,183,209,144,49,151
2015-02-02,243,306,169,185,148,60,171
2015-02-03,227,328,199,178,140,62,149
2015-02-04,256,301,146,176,165,47,175
2015-02-05,245,304,181,170,151,65,127
2015-02-06,207,279,185,175,141,48,129
2015-02-07,228,315,157,170,127,42,139
2015-02-08,239,325,140,194,163,44,127
2015-02-09,204,308,149,175,148,38,122
2015-02-10,185,284,165,174,149,46,174
2015-02-11,236,283,187,208,138,47,129
2015-02-12,196,343,186,192,159,51,183
2015-02-13,223,334,179,194,142,76,146
2015-02-14,228,301,158,164,121,49,123
2015-02-15,255,307,166,185,152,53,169
2015-02-16,219,318,159,198,185,62,196
2015-02-17,231,333,186,193,168,67,161
2015-02-18,206,317,174,188,140,52,146
2015-02-19,192,288,190,188,159,49,164
2015-02-20,261,339,161,183,161,48,161
2015-02-21,221,326,184,193,145,44,162
2015-02-22,226,302,141,197,151,49,130
2015-02-23,229,341,130,171,108,34,172
2015-02-24,239,299,175,185,147,49,160
2015-02-25,228,339,167,184,146,39,164
2015-02-26,215,325,143,161,160,47,173
2015-02-27,233,340,157,202,140,68,181
2015-02-28,239,289,156,191,116,48,179
2015-03-01,213,323,153,202,158,67,163
2015-03-02,224,280,187,191,129,64,191
2015-03-03,225,342,196,170,167,47,140
2015-03-04,214,328,175,199,148,51,154
2015-03-05,220,281,196,185,139,45,141
2015-03-06,229,311,150,171,125,41,158
2015-03-07,233,294,160,192,137,50,121
2015-03-08,230,328,157,150,145,48,156
2015-03-09,200,314,167,178,132,46,158
2015-03-10,231,294,166,174,138,67,170
2015-03-11,200,310,197,225,164,36,175
2015-03-12,222,319,168,187,150,56,169
2015-03-13,257,336,153,193,120,37,102
2015-03-14,207,297,179,191,125,48,148
2015-03-15,201,318,166,186,134,40,134
2015-03-16,205,268,172,181,146,50,119
2015-03-17,229,295,130,194,121,52,143
2015-03-18,218,288,197,174,152,59,126
2015-03-19,236,313,194,225,167,50,139
2015-03-20,200,303,164,204,152,57,143
2015-03-21,230,278,180,173,131,49,146
2015-03-22,241,312,129,214,157,47,168
2015-03-23,216,292,171,163,134,51,141
2015-03-24,229,322,186,182,133,49,153
2015-03-25,218,288,178,203,161,45,166
2015-03-26,204,322,168,158,146,38,158
2015-03-27,250,346,191,182,137,68,177
2015-03-28,242,309,172,179,135,34,159
2015-03-29,218,275,160,172,153,48,134
2015-03-30,221,298,165,164,143,52,161
2015-03-31,231,342,163,177,157,72,148
2015-04-01,229,316,175,208,154,45,192
2015-04-02,232,334,178,166,153,43,165
2015-04-03,256,333,162,199,139,54,149
2015-04-04,207,325,178,177,138,48,124
2015-04-05,228,291,166,183,123,43,138
2015-04-06,236,318,175,210,152,47,141
2015-04-07,241,325,176,188,130,57,142
2015-04-08,248,330,166,196,170,59,138
2015-04-09,222,328,183,154,114,42,161
2015-04-10,229,318,173,179,126,48,148
2015-04-11,225,281,152,180,140,50,152
2015-04-12,218,287,165,161,127,56,139
2015-04-13,237,321,178,156,157,62,143
2015-04-14,218,318,177,176,172,58,155
2015-04-15,252,358,169,206,171,50,133
2015-04-16,241,330,153,199,152,43,148
2015-04-17,221,317,153,193,159,42,148
2015-04-18,225,322,142,169,170,50,135
2015-04-19,227,290,169,194,144,54,121
2015-04-20,223,304,162,186,122,48,144
2015-04-21,204,270,170,170,139,58,128
2015-04-22,252,303,183,183,152,45,145
2015-04-23,202,308,187,186,169,43,159
2015-04-24,233,329,163,189,121,49,185
2015-04-25,214,294,164,168,141,39,130
2015-04-26,210,295,172,179,140,52,155
2015-04-27,225,264,148,173,108,60,132
2015-04-28,247,296,172,192,127,57,130
2015-04-29,214,324,169,205,136,69,154
2015-04-30,231,325,187,196,141,56,175
2015-05-01,227,306,151,168,149,52,145
2015-05-02,227,369,168,226,195,57,156
2015-05-03,192,333,163,172,128,54,158
2015-05-04,207,347,167,172,143,52,138
2015-05-05,204,313,175,162,158,65,153
2015-05-06,268,307,179,201,137,52,147
2015-05-07,216,376,164,184,157,45,149
2015-05-08,222,332,176,210,155,47,167
2015-05-09,228,309,137,195,143,43,146
2015-05-10,227,330,174,183,132,53,147
2015-05-11,213,333,177,185,148,56,151
2015-05-12,206,316,167,188,158,58,175
2015-05-13,206,310,156,196,152,60,135
2015-05-14,224,326,161,192,118,41,153
2015-05-15,185,309,169,215,119,45,128
2015-05-16,189,289,173,168,128,55,142
2015-05-17,229,306,178,204,128,50,142
2015-05-18,221,308,183,173,132,53,139
2015-05-19,199,320,164,203,175,57,150
2015-05-20,211,323,188,222,147,54,139
2015-05-21,223,318,159,178,131,52,158
2015-05-22,240,313,192,201,151,57,166
2015-05-23,223,336,160,175,143,54,159
2015-05-24,234,341,174,196,131,51,148
2015-05-25,280,327,169,214,160,68,179
2015-05-26,275,405,203,238,144,64,170
2015-05-27,222,363,200,156,162,53,148
2015-05-28,238,353,215,176,160,73,156
2015-05-29,207,347,147,169,169,47,177
2015-05-30,228,344,213,174,146,57,132
2015-05-31,228,355,163,155,132,47,140
2015-06-01,226,314,177,178,164,53,126
2015-06-02,212,370,150,187,153,58,140
2015-06-03,218,335,141,196,156,45,136
2015-06-04,212,334,191,162,139,49,129
2015-06-05,219,323,179,172,136,62,150
2015-06-06,196,300,140,142,119,52,152
2015-06-07,232,297,163,161,141,47,167
2015-06-08,234,326,195,163,137,51,185
2015-06-09,220,353,156,196,137,44,131
2015-06-10,208,307,178,192,133,47,137
2015-06-11,207,312,166,172,143,47,165
2015-06-12,215,304,144,196,156,40,151
2015-06-13,227,298,167,216,130,32,190
2015-06-14,231,332,163,201,155,51,176
2015-06-15,218,311,152,183,140,52,134
2015-06-16,212,313,169,175,150,44,144
2015-06-17,207,330,181,195,169,87,170
2015-06-18,302,363,210,228,172,67,193
2015-06-19,261,362,215,237,146,64,174
2015-06-20,266,325,186,203,178,52,178
2015-06-21,283,323,200,187,177,79,229
2015-06-22,250,295,174,175,162,47,168
2015-06-23,216,311,185,204,148,63,148
2015-06-24,252,338,195,205,174,38,135
2015-06-25,231,364,169,197,131,50,126
2015-06-26,233,315,156,187,146,59,161
2015-06-27,236,316,157,193,143,61,141
2015-06-28,200,309,144,166,133,43,163
2015-06-29,221,284,173,169,148,62,160
2015-06-30,216,348,168,164,150,57,151
2015-07-01,237,350,179,207,131,50,171
2015-07-02,231,320,168,196,163,58,163
2015-07-03,240,388,193,179,172,73,146
2015-07-04,228,357,154,204,168,67,143
2015-07-05,232,371,192,205,181,49,132
2015-07-06,253,329,209,215,135,47,181
2015-07-07,226,346,152,195,142,66,129
2015-07-08,220,344,200,184,162,51,168
2015-07-09,234,321,165,168,159,56,180
2015-07-10,210,311,192,201,143,52,139
2015-07-11,218,347,173,190,144,38,109
2015-07-12,223,308,174,181,136,61,148
2015-07-13,202,326,184,217,132,46,146
2015-07-14,212,309,138,170,143,48,147
2015-07-15,233,360,147,197,141,58,161
2015-07-16,239,327,131,167,144,59,148
2015-07-17,246,393,164,202,172,62,150
2015-07-18,259,347,164,184,141,68,145
2015-07-19,233,360,158,206,159,58,176
2015-07-20,239,297,146,157,127,44,131
2015-07-21,233,324,188,157,154,51,121
2015-07-22,236,316,165,186,142,44,155
2015-07-23,228,307,179,204,151,56,182
2015-07-24,228,325,186,207,150,66,156
